title,institution,place,description,source_number,source_url,image_url,lat,lon,license,author,date
Fana kirke (Bergen),Riksantikvaren,Bergen,Restaurert 1928 ved Frederik Konow-Lund.,CIMG1610.jpg,URN:NBN:no-RAKV_arkiv_5E42676030E0424A 99176129EBA0ACE5,http://www.knreise.no/img/riksantikvaren/CIMG1610.jpg,,,http://creativecommons.org/licenses/by/4.0/,Hanna Kosonen Geiran,1/2/2006
Fana kirke (Bergen),Riksantikvaren,Bergen,Restaurert 1928 ved Frederik Konow-Lund.,CIMG1611.jpg,URN:NBN:no-RAKV_arkiv_4797D97DBB274687 AB9E076C1F2408D3,http://www.knreise.no/img/riksantikvaren/CIMG1611.jpg,,,http://creativecommons.org/licenses/by/4.0/,Hanna Kosonen Geiran,1/2/2006
Fana kirke (Bergen),Riksantikvaren,Bergen,Restaurert 1928 ved Frederik Konow-Lund.,CIMG1612.jpg,URN:NBN:no-RAKV_arkiv_2382F14F77624A03 B7EB89A67458FB3A,http://www.knreise.no/img/riksantikvaren/CIMG1612.jpg,,,http://creativecommons.org/licenses/by/4.0/,Hanna Kosonen Geiran,1/2/2006
Sandviksboder 20-24 (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0037B.jpg,URN:NBN:no-RAKV_arkiv_6EA56ABF29EC443E AFC2216BB2F8FEEC,http://www.knreise.no/img/riksantikvaren/T248_01_0037B.jpg,,,http://creativecommons.org/licenses/by/4.0/,Janne Wilberg,Ukjent dato
Sandviksboder 20-24 (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0043.jpg,URN:NBN:no-RAKV_arkiv_4639A5E1F6E34FE3 A5B7CE9ED289BB2E,http://www.knreise.no/img/riksantikvaren/T248_01_0043.jpg,,,http://creativecommons.org/licenses/by/4.0/,Janne Wilberg,Ukjent dato
Sandviksboder 20-24 (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0044.jpg,URN:NBN:no-RAKV_arkiv_1F937F7956874CB6 926A52481C750DC4,http://www.knreise.no/img/riksantikvaren/T248_01_0044.jpg,,,http://creativecommons.org/licenses/by/4.0/,Janne Wilberg,Ukjent dato
Sandviksboder 20-24 (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0047.jpg,URN:NBN:no-RAKV_arkiv_F3942177D2374D3B 90741629F70CA493,http://www.knreise.no/img/riksantikvaren/T248_01_0047.jpg,,,http://creativecommons.org/licenses/by/4.0/,Janne Wilberg,Ukjent dato
Sandviksboder (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0068.jpg,URN:NBN:no-RAKV_arkiv_8A7F6774DE4E4F9D A7FA0B4F02CB95B2,http://www.knreise.no/img/riksantikvaren/T248_01_0068.jpg,,,http://creativecommons.org/licenses/by/4.0/,Janne Wilberg,1993
Sandviksboder (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0073.jpg,URN:NBN:no-RAKV_arkiv_4B68C87CECD94B4E 89BEEC73A50DEAEA,http://www.knreise.no/img/riksantikvaren/T248_01_0073.jpg,,,http://creativecommons.org/licenses/by/4.0/,Janne Wilberg,1993
Sandviksboder (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0077.jpg,URN:NBN:no-RAKV_arkiv_E5F4A0B5BECF480A A1D6643A19AA7638,http://www.knreise.no/img/riksantikvaren/T248_01_0077.jpg,,,http://creativecommons.org/licenses/by/4.0/,Janne Wilberg,1993
Sandviksboder (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0079.jpg,URN:NBN:no-RAKV_arkiv_8D0C7B173F8C4F39 8EFE32153C2CD4AD,http://www.knreise.no/img/riksantikvaren/T248_01_0079.jpg,,,http://creativecommons.org/licenses/by/4.0/,Janne Wilberg,1993
Sandviksboder (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0085.jpg,URN:NBN:no-RAKV_arkiv_F9B7F99EB06B4BC7 AE14BF044AE60FAB,http://www.knreise.no/img/riksantikvaren/T248_01_0085.jpg,,,http://creativecommons.org/licenses/by/4.0/,Janne Wilberg,1993
Sandviksboder (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0089.jpg,URN:NBN:no-RAKV_arkiv_5A6AD6606BCB42F7 B1F2CE4DB9422708,http://www.knreise.no/img/riksantikvaren/T248_01_0089.jpg,,,http://creativecommons.org/licenses/by/4.0/,Janne Wilberg,1993
Sandviksboder (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0094.jpg,URN:NBN:no-RAKV_arkiv_6D46CFFBDAE14447 AA26D04146692F40,http://www.knreise.no/img/riksantikvaren/T248_01_0094.jpg,,,http://creativecommons.org/licenses/by/4.0/,Janne Wilberg,1993
"Bergen stasjon (Strømgaten 4, Bergen)",Riksantikvaren,Bergen,Fredet,T248_01_0103.jpg,URN:NBN:no-RAKV_arkiv_528FA03AF8224B0C B91FBC7BD6584B3E,http://www.knreise.no/img/riksantikvaren/T248_01_0103.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Bergen stasjon (Strømgaten 4, Bergen)",Riksantikvaren,Bergen,Fredet,T248_01_0104.jpg,URN:NBN:no-RAKV_arkiv_05BD380649AA4A13 B1D9D0F2CEB8614B,http://www.knreise.no/img/riksantikvaren/T248_01_0104.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Bergen stasjon (Strømgaten 4, Bergen)",Riksantikvaren,Bergen,Fredet,T248_01_0110.jpg,URN:NBN:no-RAKV_arkiv_52FC8A815AD84194 862310591EB6C4C3,http://www.knreise.no/img/riksantikvaren/T248_01_0110.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Bergen stasjon (Strømgaten 4, Bergen)",Riksantikvaren,Bergen,Fredet,T248_01_0119.jpg,URN:NBN:no-RAKV_arkiv_D5DF7478C1BB485F AAC904648AD92FD7,http://www.knreise.no/img/riksantikvaren/T248_01_0119.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Håkonshallen, Haakonshallen, Bergenhus (Bergen)",Riksantikvaren,Bergen,Fredet,T248_01_0160.jpg,URN:NBN:no-RAKV_arkiv_C7E7CB10B3074837 955FF9C03F2C61AA,http://www.knreise.no/img/riksantikvaren/T248_01_0160.jpg,,,http://creativecommons.org/licenses/by/4.0/,Truls Teigen,Ukjent dato
Bryggen (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0221.jpg,URN:NBN:no-RAKV_arkiv_037506E538344F47 8DE5B134E41EED36,http://www.knreise.no/img/riksantikvaren/T248_01_0221.jpg,,,http://creativecommons.org/licenses/by/4.0/,Andreas Dreyer,1981
"Bergen tinghus (Tårnplassen 2, Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_01_0259.jpg,URN:NBN:no-RAKV_arkiv_C84C10CBE7E2418A 8314DB24ECDACF7A,http://www.knreise.no/img/riksantikvaren/T248_01_0259.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Bergen tinghus (Tårnplassen 2, Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_01_0260.jpg,URN:NBN:no-RAKV_arkiv_78F7CFD81184490E B3F48A48B883B10D,http://www.knreise.no/img/riksantikvaren/T248_01_0260.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Haakonshallen, Haakonshallen, Bergenhus (Bergen)",Riksantikvaren,Bergen,"Festningskaien med Haakonshallen. Hallen antatt oppført på slutten av 1240-årene. Ferdigstillet 1261. Sydveggen, med Christies trapp. Bildet tatt før 1944 Fredet",T248_01_0264.jpg,URN:NBN:no-RAKV_arkiv_F61BCA8B8734435C B62716A1454F3841,http://www.knreise.no/img/riksantikvaren/T248_01_0264.jpg,,,http://creativecommons.org/licenses/by/4.0/,Knud Knudsen,Ukjent dato
"Haakonshallen, Haakonshallen, Bergenhus (Bergen)",Riksantikvaren,Bergen,Antatt oppført på slutten av 1240-årene. Ferdigstillet 1261 Fredet,T248_01_0265.jpg,URN:NBN:no-RAKV_arkiv_E9D298575B6C4F25 BBF6C67388E0E039,http://www.knreise.no/img/riksantikvaren/T248_01_0265.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
"Haakonshallen, Haakonshallen, Bergenhus (Bergen)",Riksantikvaren,Bergen,Antatt oppført på slutten av 1240-årene. Ferdigstillet 1261 Fredet,T248_01_0266.jpg,URN:NBN:no-RAKV_arkiv_C519F3F36C1045AE AD278481EEF8D516,http://www.knreise.no/img/riksantikvaren/T248_01_0266.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Rosenkrantztårnet, Bergenhus (Bergen)",Riksantikvaren,Bergen,Etter eksplosjonen 1944 Bilde vedlagt Hareides rapport av 25.4.1944 Fredet,T248_01_0269.jpg,URN:NBN:no-RAKV_arkiv_922B284FC19E4B19 BCACA6208769CAF1,http://www.knreise.no/img/riksantikvaren/T248_01_0269.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,4/1/1944
"Haakonshallen, Haakonshallen, Bergenhus (Bergen)",Riksantikvaren,Bergen,Etter brannen 1944 Bilde vedlagt Hareides rapport av 25.4.1944 Fredet,T248_01_0270.jpg,URN:NBN:no-RAKV_arkiv_4C60AD3AE48547EC A36B082E60A21B92,http://www.knreise.no/img/riksantikvaren/T248_01_0270.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,4/1/1944
"Haakonshallen, Haakonshallen, Bergenhus (Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Antatt oppført på slutten av 1240-årene. Ferdigstillet 1261. Fredet.,T248_01_0274.jpg,URN:NBN:no-RAKV_arkiv_3C9F5CE250E047D3 929D616AE3678A0D,http://www.knreise.no/img/riksantikvaren/T248_01_0274.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Haugeveien (Haugeveien, Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_01_0286.jpg,URN:NBN:no-RAKV_arkiv_59AC324AF65E45F6 9BC3E44016898054,http://www.knreise.no/img/riksantikvaren/T248_01_0286.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Elsesro (Sandviken, Bergen)",Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0289.jpg,URN:NBN:no-RAKV_arkiv_490313C2B9FA4447 B022890850D2F1CC,http://www.knreise.no/img/riksantikvaren/T248_01_0289.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
"Elsesro (Sandviken, Bergen)",Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0298.jpg,URN:NBN:no-RAKV_arkiv_B4025C9E8DFE462C B00521F8795E2617,http://www.knreise.no/img/riksantikvaren/T248_01_0298.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Florida (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0301.jpg,URN:NBN:no-RAKV_arkiv_AC81A4CE985445DF 9AB725AA93D5A311,http://www.knreise.no/img/riksantikvaren/T248_01_0301.jpg,,,http://creativecommons.org/licenses/by/4.0/,Knud Knudsen,Ukjent dato
Fløirestauranten (Bergen),Riksantikvaren,Bergen,1492 Eneret 1902 Wilse.xania,T248_01_0302.jpg,URN:NBN:no-RAKV_arkiv_98D96AB5F8414E26 9C7C46A980B13EE1,http://www.knreise.no/img/riksantikvaren/T248_01_0302.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,1/1/1902
"Fløistuen (Fløysvingene, Bergen)",Riksantikvaren,Bergen,Åpnet 1891. Revet 1964-65.,T248_01_0303.jpg,URN:NBN:no-RAKV_arkiv_09E476A526B046F1 8F5AAF88878343A3,http://www.knreise.no/img/riksantikvaren/T248_01_0303.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Folkets hus (Håkons gate, Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Folkets Hus,T248_01_0304.jpg,URN:NBN:no-RAKV_arkiv_C5964569C7B141AB ACCF0B2C4449C14E,http://www.knreise.no/img/riksantikvaren/T248_01_0304.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Holdts Hotel (Ole Bulls plass, Bergen)",Riksantikvaren,Bergen,Hjørnet veiten Ole Bulls plass.,T248_01_0305.jpg,URN:NBN:no-RAKV_arkiv_D66695F87DC24FA6 86C9A31EDD1B0334,http://www.knreise.no/img/riksantikvaren/T248_01_0305.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Olav Kyrres gate (Bergen),Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,"Nr. 27, Hotel Boulevard, til venstre",T248_01_0511.jpg,URN:NBN:no-RAKV_arkiv_7056CED2F58D452C 98FE89F6276ECABB,http://www.knreise.no/img/riksantikvaren/T248_01_0511.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,1890
Landås kirke (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0539.jpg,URN:NBN:no-RAKV_arkiv_D0E6217D82AD4A8B AF5F7B08A0F9866E,http://www.knreise.no/img/riksantikvaren/T248_01_0539.jpg,,,http://creativecommons.org/licenses/by/4.0/,Oddbjørn Sørmoen,5/1/2004
Landås kirke (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0540.jpg,URN:NBN:no-RAKV_arkiv_97A73958E6AD456E 8D827767EDA2191B,http://www.knreise.no/img/riksantikvaren/T248_01_0540.jpg,,,http://creativecommons.org/licenses/by/4.0/,Oddbjørn Sørmoen,5/1/2004
Landås kirke (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_01_0541.jpg,URN:NBN:no-RAKV_arkiv_90A0625489194D5B B39288E19B44530B,http://www.knreise.no/img/riksantikvaren/T248_01_0541.jpg,,,http://creativecommons.org/licenses/by/4.0/,Oddbjørn Sørmoen,5/1/2004
